거래일자,거래시간,메뉴명,수량,단가,금액
2026-04-01,09:15,아이스 아메리카노,2,4500,9000
2026-04-01,09:42,카페라떼,1,5500,5500
2026-04-01,10:08,아이스 아메리카노,1,4500,4500
2026-04-01,10:33,바닐라 라떼,1,6000,6000
2026-04-01,11:05,카푸치노,2,5500,11000
2026-04-01,11:47,딸기 스무디,1,7000,7000
2026-04-01,12:15,아이스 아메리카노,3,4500,13500
2026-04-01,12:38,카페라떼,2,5500,11000
2026-04-01,13:02,티라미수,1,6500,6500
2026-04-01,13:29,아이스 아메리카노,1,4500,4500
2026-04-01,14:10,바닐라 라떼,1,6000,6000
2026-04-01,14:45,마카롱 세트,2,4000,8000
2026-04-01,15:22,아이스 아메리카노,2,4500,9000
2026-04-01,15:58,딸기 스무디,1,7000,7000
2026-04-01,16:30,카페라떼,1,5500,5500
2026-04-01,17:05,초코 케이크,1,7500,7500
2026-04-01,17:40,아이스 아메리카노,2,4500,9000
2026-04-01,18:15,카푸치노,1,5500,5500
2026-04-01,19:02,바닐라 라떼,1,6000,6000
2026-04-01,19:33,아이스 아메리카노,1,4500,4500
