결제일,결제시각,상품명,결제금액,결제수단
2026/04/02,10:05:32,아이스아메리카노,4500,카드
2026/04/02,10:23:11,카페라떼,5500,카드
2026/04/02,10:51:44,아이스아메리카노,4500,카카오페이
2026/04/02,11:14:02,바닐라라떼,6000,카드
2026/04/02,11:38:55,아이스아메리카노,4500,카드
2026/04/02,12:02:18,티라미수케이크,7500,카드
2026/04/02,12:19:40,카페라떼,5500,네이버페이
2026/04/02,12:44:23,아이스아메리카노,4500,카드
2026/04/02,13:05:50,딸기스무디,7000,카드
2026/04/02,13:22:07,바닐라라떼,6000,카카오페이
2026/04/02,14:01:33,아이스아메리카노,4500,카드
2026/04/02,14:28:49,마카롱,4000,카드
2026/04/02,15:10:14,아이스아메리카노,4500,카드
2026/04/02,15:37:28,카푸치노,5500,카드
2026/04/02,16:02:55,초코케이크,7500,카드
2026/04/02,16:44:31,아이스아메리카노,4500,네이버페이
2026/04/02,17:15:08,카페라떼,5500,카드
2026/04/02,18:03:22,바닐라라떼,6000,카드
2026/04/02,19:11:47,아이스아메리카노,4500,카드
2026/04/02,20:04:15,카페라떼,5500,카카오페이
