Date,Time,Item Name,Category,Qty,Unit Price,Total
04/03/2026,09:20,Iced Americano,Beverage,2,4500,9000
04/03/2026,09:55,Cafe Latte,Beverage,1,5500,5500
04/03/2026,10:18,Croissant,Dessert,1,4500,4500
04/03/2026,10:42,Iced Americano,Beverage,1,4500,4500
04/03/2026,11:03,Tiramisu,Dessert,2,7500,15000
04/03/2026,11:30,Vanilla Latte,Beverage,1,6000,6000
04/03/2026,12:05,Iced Americano,Beverage,3,4500,13500
04/03/2026,12:28,Cappuccino,Beverage,1,5500,5500
04/03/2026,12:50,Chocolate Cake,Dessert,1,7500,7500
04/03/2026,13:15,Iced Americano,Beverage,2,4500,9000
04/03/2026,13:40,Strawberry Smoothie,Beverage,1,7000,7000
04/03/2026,14:22,Macaron Set,Dessert,2,4000,8000
04/03/2026,14:55,Iced Americano,Beverage,1,4500,4500
04/03/2026,15:30,Cafe Latte,Beverage,2,5500,11000
04/03/2026,16:08,Vanilla Latte,Beverage,1,6000,6000
04/03/2026,16:42,Croissant,Dessert,1,4500,4500
04/03/2026,17:15,Iced Americano,Beverage,2,4500,9000
04/03/2026,18:03,Cafe Latte,Beverage,1,5500,5500
04/03/2026,19:20,Iced Americano,Beverage,1,4500,4500
04/03/2026,20:05,Cappuccino,Beverage,1,5500,5500
