판매일,시간대,품목,분류,갯수,판매가,소계,비고
20260404,오전,아이스 아메리카노,음료,3,4500,13500,
20260404,오전,카페라떼,음료,2,5500,11000,
20260404,오전,크로아상,디저트,2,4500,9000,
20260404,점심,아이스 아메리카노,음료,4,4500,18000,
20260404,점심,바닐라 라떼,음료,1,6000,6000,
20260404,점심,티라미수,디저트,1,7500,7500,
20260404,점심,카푸치노,음료,2,5500,11000,
20260404,오후,아이스 아메리카노,음료,5,4500,22500,
20260404,오후,딸기 스무디,음료,2,7000,14000,
20260404,오후,마카롱,디저트,3,4000,12000,
20260404,오후,초코 케이크,디저트,1,7500,7500,
20260404,저녁,아이스 아메리카노,음료,2,4500,9000,
20260404,저녁,카페라떼,음료,2,5500,11000,
20260404,저녁,바닐라 라떼,음료,1,6000,6000,
20260404,저녁,카푸치노,음료,1,5500,5500,수량 불확실
