일자,메뉴,판매금액
2026년 4월 5일,아이스 아메리카노,"45,000"
2026년 4월 5일,카페라떼,"38,500"
2026년 4월 5일,바닐라 라떼,"24,000"
2026년 4월 5일,카푸치노,"16,500"
2026년 4월 5일,딸기 스무디,"21,000"
2026년 4월 5일,티라미수케이크,"22,500"
2026년 4월 5일,초코케이크,"15,000"
2026년 4월 5일,마카롱,"16,000"
2026년 4월 5일,크로아상,"18,000"
2026년 4월 6일,아이스 아메리카노,"54,000"
2026년 4월 6일,카페라떼,"44,000"
2026년 4월 6일,바닐라 라떼,"30,000"
2026년 4월 6일,카푸치노,"22,000"
2026년 4월 6일,딸기 스무디,"14,000"
2026년 4월 6일,티라미수케이크,"30,000"
2026년 4월 6일,마카롱,"12,000"
2026년 4월 7일,아이스 아메리카노,"40,500"
2026년 4월 7일,카페라떼,"33,000"
2026년 4월 7일,바닐라 라떼,"18,000"
2026년 4월 7일,딸기 스무디,"28,000"
